Rok,Imie,Liczba,plec,Ranking,Kolor
2018,JAN,8457,M,3,chocolate
2018,SZYMON,8234,M,4,steelblue
2018,ALEKSANDER,7324,M,5,steelblue
2018,FRANCISZEK,7094,M,6,steelblue
2018,FILIP,6407,M,7,steelblue
2018,MIKO£AJ,6008,M,8,steelblue
2018,WOJCIECH,5862,M,9,steelblue
2018,KACPER,5437,M,10,steelblue
2018,ADAM,5168,M,11,steelblue
2018,MARCEL,4661,M,12,steelblue
2018,STANIS£AW,4649,M,13,steelblue
2018,MICHA£,4586,M,14,steelblue
2018,WIKTOR,3908,M,15,steelblue
2019,ANTONI,8550,M,1,gold
2019,JAN,8032,M,2,silver
2019,JAKUB,7966,M,3,chocolate
2019,ALEKSANDER,7432,M,4,steelblue
2019,SZYMON,7177,M,5,steelblue
2019,FRANCISZEK,6805,M,6,steelblue
2019,FILIP,6169,M,7,steelblue
2019,MIKO£AJ,5786,M,8,steelblue
2019,WOJCIECH,5468,M,9,steelblue
2019,ADAM,4899,M,10,steelblue
2019,KACPER,4889,M,11,steelblue
2019,STANIS£AW,4812,M,12,steelblue
2019,MARCEL,4368,M,13,steelblue
2019,LEON,4345,M,14,steelblue
2019,MICHA£,4165,M,15,steelblue
2020,ANTONI,4037,M,1,gold
2020,JAN,3823,M,2,silver
2020,JAKUB,3614,M,3,chocolate
2020,ALEKSANDER,3541,M,4,steelblue
2020,FRANCISZEK,3499,M,5,steelblue
2020,SZYMON,3107,M,6,steelblue
2020,FILIP,2744,M,7,steelblue
2020,MIKO£AJ,2587,M,8,steelblue
2020,STANIS£AW,2522,M,9,steelblue
2020,WOJCIECH,2416,M,10,steelblue
2020,LEON,2302,M,11,steelblue
2020,ADAM,2227,M,12,steelblue
2020,KACPER,2166,M,13,steelblue
2020,NIKODEM,2081,M,14,steelblue
2020,MARCEL,1979,M,15,steelblue
2021,ANTONI,7821,M,1,gold
2021,JAN,6975,M,2,silver
2021,ALEKSANDER,6919,M,3,chocolate
2021,FRANCISZEK,6629,M,4,steelblue
2021,JAKUB,6427,M,5,steelblue
2021,LEON,5296,M,6,steelblue
2021,MIKO£AJ,5205,M,7,steelblue
2021,SZYMON,4962,M,8,steelblue
2021,FILIP,4884,M,9,steelblue
2021,STANIS£AW,4899,M,10,steelblue
2021,WOJCIECH,2302,M,11,steelblue
2021,ADAM,2227,M,12,steelblue
2021,KACPER,2166,M,13,steelblue
2021,NIKODEM,2081,M,14,steelblue
2021,MARCEL,1979,M,15,steelblue
2022,ANTONI,6670,M,1,gold
2022,JAN,6341,M,2,silver
2022,ALEKSANDER,6201,M,3,chocolate
2022,NIKODEM,6155,M,4,steelblue
2022,FRANCISZEK,5696,M,5,steelblue
2022,JAKUB,5535,M,6,steelblue
2022,LEON,5091,M,7,steelblue
2022,MIKO£AJ,4499,M,8,steelblue
2022,STANIS£AW,4265,M,9,steelblue
2022,FILIP,4107,M,10,steelblue
2022,IGANCY,3980,M,11,steelblue
2022,ADAM,3845,M,12,steelblue
2022,KACPER,3720,M,13,steelblue
2022,MARCEL,3595,M,14,steelblue
2022,WOJCIECH,3480,M,15,steelblue
2023,NIKODEM,6532,M,1,gold
2023,ANTONI,5663,M,2,silver
2023,JAN,5638,M,3,chocolate
2023,ALEKSANDER,5625,M,4,steelblue
2023,FRANCISZEK,4965,M,5,steelblue
2023,JAKUB,4474,M,6,steelblue
2023,IGNACY,4166,M,7,steelblue
2023,MIKO£AJ,4081,M,8,steelblue
2023,STANIS£AW,3874,M,9,steelblue
2023,ADAM,3845,M,10,steelblue
2023,KACPER,3720,M,11,steelblue
2023,MARCEL,3595,M,12,steelblue
2023,WOJCIECH,3480,M,13,steelblue
2023,FILIP,3410,M,14,steelblue
2023,LEON,916,M,15,steelblue
2024,NIKODEM,6388,M,1,gold
2024,ANTONI,5404,M,2,silver
2024,JAN,5277,M,3,chocolate
2024,ALEKSANDER,5170,M,4,steelblue
2024,LEON,4669,M,5,steelblue
2024,FRANCISZEK,4574,M,6,steelblue
2024,IGNACY,4229,M,7,steelblue
2024,JAKUB,3938,M,8,steelblue
2024,STANIS£AW,3715,M,9,steelblue
2024,MIKO£AJ,3644,M,10,steelblue
2024,KACPER,3530,M,11,steelblue
2024,ADAM,3460,M,12,steelblue
2024,MARCEL,3325,M,13,steelblue
2024,WOJCIECH,3190,M,14,steelblue
2024,FILIP,3080,M,15,steelblue
